No.,Time,Source,Destination,,Time 1,Time 2,Delay ( Time 2 - Time 1 ),,Delay 1,Delay 2,,Jitter ( Delay 2 - Delay 1 )
4935,40.055628,192.168.43.73,172.217.194.132,,40.055628,40.055727,9.9E-05,,3.1E-05,6.8E-05,,3.7E-05
4936,40.055727,192.168.43.73,204.79.197.203,,40.055727,40.055795,6.8E-05,,-5E-05,0.000118,,0.000168
4937,40.055795,192.168.43.73,104.40.210.32,,40.055795,40.055913,0.000118,,1.8E-05,0.0001,,8.2E-05
4938,40.055913,192.168.43.73,34.237.179.253,,40.055913,40.056013,0.0001,,-6E-06,0.000106,,0.000112
4939,40.056013,192.168.43.73,204.79.197.200,,40.056013,40.056119,0.000106,,3E-05,7.6E-05,,4.6E-05
4940,40.056119,192.168.43.73,13.107.21.200,,40.056119,40.056195,7.6E-05,,-3.1E-05,0.000107,,0.000138
4941,40.056195,192.168.43.73,216.239.38.120,,40.056195,40.056302,0.000107,,2E-06,0.000105,,0.000103
4942,40.056302,192.168.43.73,167.71.200.128,,40.056302,40.056407,0.000105,,3E-05,7.5E-05,,4.5E-05
4943,40.056407,192.168.43.73,167.71.199.22,,40.056407,40.056482,7.5E-05,,-2.5E-05,1E-04,,0.000125
4944,40.056482,192.168.43.73,192.241.244.202,,40.056482,40.056582,1E-04,,8E-06,9.2E-05,,8.4E-05
4945,40.056582,192.168.43.73,161.35.50.90,,40.056582,40.056674,9.2E-05,,0,9.2E-05,,9.2E-05
4946,40.056674,192.168.43.73,161.35.50.91,,40.056674,40.056766,9.2E-05,,-0.000149,0.000241,,0.00039
4947,40.056766,192.168.43.73,68.183.180.131,,40.056766,40.057007,0.000241,,-0.054445,0.054686,,0.109131
4948,40.057007,192.168.43.73,114.125.16.33,,40.057007,40.111693,0.054686,,0.054686,0,,-0.054686
4950,40.111693,23.43.248.138,192.168.43.73,,40.111693,40.111693,0,,-0.005223,0.005223,,0.010446
4951,40.111693,204.79.197.203,192.168.43.73,,40.111693,40.116916,0.005223,,-0.00199,0.007213,,0.009203
4952,40.116916,13.88.28.53,192.168.43.73,,40.116916,40.124129,0.007213,,0.007213,0,,-0.007213
4953,40.124129,204.79.197.203,192.168.43.73,,40.124129,40.124129,0,,0,0,,0
4954,40.124129,54.225.227.202,192.168.43.73,,40.124129,40.124129,0,,-0.013949,0.013949,,0.027898
4955,40.124129,204.79.197.200,192.168.43.73,,40.124129,40.138078,0.013949,,0.013949,0,,-0.013949
4956,40.138078,114.125.16.33,192.168.43.73,,40.138078,40.138078,0,,0,0,,0
4957,40.138078,74.125.24.119,192.168.43.73,,40.138078,40.138078,0,,0,0,,0
4958,40.138078,20.184.57.167,192.168.43.73,,40.138078,40.138078,0,,0,0,,0
